"X:    " "Y:    " "Z    "
"       15.075376884422212" "    -1000.000000000000000" "        0.004384956061203"
"       25.125628140703611" "    -1000.000000000000000" "        0.004390319479636"
"       35.175879396985010" "    -1000.000000000000000" "        0.004393712943822"
"       45.226130653266409" "    -1000.000000000000000" "        0.004395128025701"
"       55.276381909547808" "    -1000.000000000000000" "        0.004394560822376"
"       65.326633165829207" "    -1000.000000000000000" "        0.004392011978761"
"       75.376884422110606" "    -1000.000000000000000" "        0.004387486685712"
"       85.427135678392006" "    -1000.000000000000000" "        0.004380994653636"
"       95.477386934673405" "    -1000.000000000000000" "        0.004372550061839"
"      105.527638190954804" "    -1000.000000000000000" "        0.004362171484096"
"      115.577889447236203" "    -1000.000000000000000" "        0.004349881791148"
"      125.628140703517602" "    -1000.000000000000000" "        0.004335708031064"
"      135.678391959799001" "    -1000.000000000000000" "        0.004319681288590"
"      145.728643216080400" "    -1000.000000000000000" "        0.004301836524816"
"      155.778894472361799" "    -1000.000000000000000" "        0.004282212398629"
"      165.829145728643425" "    -1000.000000000000000" "        0.004260851071591"
"      175.879396984924824" "    -1000.000000000000000" "        0.004237797997993"
"      185.929648241206223" "    -1000.000000000000000" "        0.004213101701938"
"      195.979899497487622" "    -1000.000000000000000" "        0.004186813543358"
"      206.030150753769021" "    -1000.000000000000000" "        0.004158987474966"
"      216.080402010050420" "    -1000.000000000000000" "        0.004129679792101"
"      226.130653266331819" "    -1000.000000000000000" "        0.004098948877491"
"      236.180904522613218" "    -1000.000000000000000" "        0.004066854942868"
"      246.231155778894617" "    -1000.000000000000000" "        0.004033459769381"
"      256.281407035176017" "    -1000.000000000000000" "        0.003998826448647"
"      266.331658291457416" "    -1000.000000000000000" "        0.003963019126198"
"      276.381909547738815" "    -1000.000000000000000" "        0.003926102749005"
"      286.432160804020214" "    -1000.000000000000000" "        0.003888142818623"
"      296.482412060301613" "    -1000.000000000000000" "        0.003849205151369"
"      306.532663316583012" "    -1000.000000000000000" "        0.003809355646831"
"      316.582914572864411" "    -1000.000000000000000" "        0.003768660065861"
"      326.633165829145810" "    -1000.000000000000000" "        0.003727183819019"
"      336.683417085427209" "    -1000.000000000000000" "        0.003684991766365"
"      346.733668341708608" "    -1000.000000000000000" "        0.003642148029258"
"      356.783919597990007" "    -1000.000000000000000" "        0.003598715814750"
"      366.834170854271406" "    -1000.000000000000000" "        0.003554757252983"
"      376.884422110552805" "    -1000.000000000000000" "        0.003510333247864"
"      386.934673366834204" "    -1000.000000000000000" "        0.003465503341183"
"      396.984924623115603" "    -1000.000000000000000" "        0.003420325590190"
"      407.035175879397002" "    -1000.000000000000000" "        0.003374856458573"
"      417.085427135678628" "    -1000.000000000000000" "        0.003329150720627"
"      427.135678391960028" "    -1000.000000000000000" "        0.003283261378365"
"      437.185929648241427" "    -1000.000000000000000" "        0.003237239591201"
"      447.236180904522826" "    -1000.000000000000000" "        0.003191134617778"
"      457.286432160804225" "    -1000.000000000000000" "        0.003144993769449"
"      467.336683417085624" "    -1000.000000000000000" "        0.003098862374887"
"      477.386934673367023" "    -1000.000000000000000" "        0.003052783755213"
"      487.437185929648422" "    -1000.000000000000000" "        0.003006799209053"
"      497.487437185929821" "    -1000.000000000000000" "        0.002960948006870"
"      507.537688442211220" "    -1000.000000000000000" "        0.002915267393930"
"      517.587939698492619" "    -1000.000000000000000" "        0.002869792601220"
"      527.638190954774018" "    -1000.000000000000000" "        0.002824556863680"
"      537.688442211055417" "    -1000.000000000000000" "        0.002779591445074"
"      547.738693467336816" "    -1000.000000000000000" "        0.002734925668853"
"      557.788944723618215" "    -1000.000000000000000" "        0.002690586954388"
"      567.839195979899614" "    -1000.000000000000000" "        0.002646600857944"
"      577.889447236181013" "    -1000.000000000000000" "        0.002602991117826"
"      587.939698492462412" "    -1000.000000000000000" "        0.002559779703102"
"      597.989949748743811" "    -1000.000000000000000" "        0.002516986865393"
"      608.040201005025210" "    -1000.000000000000000" "        0.002474631193205"
"      618.090452261306609" "    -1000.000000000000000" "        0.002432729668329"
"      628.140703517588008" "    -1000.000000000000000" "        0.002391297723864"
"      638.190954773869407" "    -1000.000000000000000" "        0.002350349303446"
"      648.241206030150806" "    -1000.000000000000000" "        0.002309896921294"
"      658.291457286432205" "    -1000.000000000000000" "        0.002269951722735"
"      668.341708542713604" "    -1000.000000000000000" "        0.002230523544869"
"      678.391959798995231" "    -1000.000000000000000" "        0.002191620977098"
"      688.442211055276630" "    -1000.000000000000000" "        0.002153251421237"
"      698.492462311558029" "    -1000.000000000000000" "        0.002115421151000"
"      708.542713567839428" "    -1000.000000000000000" "        0.002078135370622"
"      718.592964824120827" "    -1000.000000000000000" "        0.002041398272459"
"      728.643216080402226" "    -1000.000000000000000" "        0.002005213093389"
"      738.693467336683625" "    -1000.000000000000000" "        0.001969582169886"
"      748.743718592965024" "    -1000.000000000000000" "        0.001934506991657"
"      758.793969849246423" "    -1000.000000000000000" "        0.001899988253721"
"      768.844221105527822" "    -1000.000000000000000" "        0.001866025906889"
"      778.894472361809221" "    -1000.000000000000000" "        0.001832619206540"
"      788.944723618090620" "    -1000.000000000000000" "        0.001799766759686"
"      798.994974874372019" "    -1000.000000000000000" "        0.001767466570262"
"      809.045226130653418" "    -1000.000000000000000" "        0.001735716082636"
"      819.095477386934817" "    -1000.000000000000000" "        0.001704512223326"
"      829.145728643216216" "    -1000.000000000000000" "        0.001673851440921"
"      839.195979899497615" "    -1000.000000000000000" "        0.001643729744221"
"      849.246231155779014" "    -1000.000000000000000" "        0.001614142738603"
"      859.296482412060413" "    -1000.000000000000000" "        0.001585085660650"
"      869.346733668341813" "    -1000.000000000000000" "        0.001556553411062"
"      879.396984924623212" "    -1000.000000000000000" "        0.001528540585884"
"      889.447236180904611" "    -1000.000000000000000" "        0.001501041506101"
"      899.497487437186010" "    -1000.000000000000000" "        0.001474050245629"
"      909.547738693467409" "    -1000.000000000000000" "        0.001447560657760"
"      919.597989949748808" "    -1000.000000000000000" "        0.001421566400093"
"      929.648241206030434" "    -1000.000000000000000" "        0.001396060958025"
"      939.698492462311833" "    -1000.000000000000000" "        0.001371037666824"
"      949.748743718593232" "    -1000.000000000000000" "        0.001346489732364"
"      959.798994974874631" "    -1000.000000000000000" "        0.001322410250556"
"      969.849246231156030" "    -1000.000000000000000" "        0.001298792225535"
"      979.899497487437429" "    -1000.000000000000000" "        0.001275628586655"
"      989.949748743718828" "    -1000.000000000000000" "        0.001252912204345"
"     1000.000000000000000" "    -1000.000000000000000" "        0.001230635904875"
"    -1000.000000000000000" "     -989.949748743718601" "        0.001072863682312"
"     -989.949748743718601" "     -989.949748743718601" "        0.001091884691495"
"     -979.899497487437202" "     -989.949748743718601" "        0.001111288380754"
"     -969.849246231155803" "     -989.949748743718601" "        0.001131082026133"
"     -959.798994974874404" "     -989.949748743718601" "        0.001151272962232"
